Name,Tag_Series,Ticker,Link
World Uncertainty Index for Armenia,https://fred.stlouisfed.org/tags/series?t=armenia&et=&pageID=2/series/WUIARM,WUIARM,https://fred.stlouisfed.org/series/WUIARM
Bank's Return on Equity for Armenia,https://fred.stlouisfed.org/tags/series?t=armenia&et=&pageID=2/series/DDEI06AMA156NWDB,DDEI06AMA156NWDB,https://fred.stlouisfed.org/series/DDEI06AMA156NWDB
Gross Domestic Product in Current Prices for Armenia,https://fred.stlouisfed.org/tags/series?t=armenia&et=&pageID=2/series/ARMNGDPDUSD,ARMNGDPDUSD,https://fred.stlouisfed.org/series/ARMNGDPDUSD
Population Ages 15 to 64 for Armenia,https://fred.stlouisfed.org/tags/series?t=armenia&et=&pageID=2/series/SPPOP1564TOZSARM,SPPOP1564TOZSARM,https://fred.stlouisfed.org/series/SPPOP1564TOZSARM
Average Annual Hours Worked by Persons Engaged for Armenia,https://fred.stlouisfed.org/tags/series?t=armenia&et=&pageID=2/series/AVHWPEAMA065NRUG,AVHWPEAMA065NRUG,https://fred.stlouisfed.org/series/AVHWPEAMA065NRUG
Number of Persons Engaged for Armenia,https://fred.stlouisfed.org/tags/series?t=armenia&et=&pageID=2/series/EMPENGAMA148NRUG,EMPENGAMA148NRUG,https://fred.stlouisfed.org/series/EMPENGAMA148NRUG
Liquid Liabilities (Broad Money) for Armenia,https://fred.stlouisfed.org/tags/series?t=armenia&et=&pageID=2/series/DDOI07AMA648NWDB,DDOI07AMA648NWDB,https://fred.stlouisfed.org/series/DDOI07AMA648NWDB
Broad Money for Armenia,https://fred.stlouisfed.org/tags/series?t=armenia&et=&pageID=2/series/ARMFMBPCHPT,ARMFMBPCHPT,https://fred.stlouisfed.org/series/ARMFMBPCHPT
Internet users for Armenia,https://fred.stlouisfed.org/tags/series?t=armenia&et=&pageID=2/series/ITNETUSERP2ARM,ITNETUSERP2ARM,https://fred.stlouisfed.org/series/ITNETUSERP2ARM
Expenditure-side Real GDP at Current Purchasing Power Parities for Armenia,https://fred.stlouisfed.org/tags/series?t=armenia&et=&pageID=2/series/CGDPESAMA666NRUG,CGDPESAMA666NRUG,https://fred.stlouisfed.org/series/CGDPESAMA666NRUG
"Use of Financial Services, Assets: Outstanding Loans at Commercial Banks for Armenia",https://fred.stlouisfed.org/tags/series?t=armenia&et=&pageID=2/series/ARMFCSODCXDC,ARMFCSODCXDC,https://fred.stlouisfed.org/series/ARMFCSODCXDC
Number of Identified Exporters to Armenia from Arkansas,https://fred.stlouisfed.org/tags/series?t=armenia&et=&pageID=2/series/ARARMA475SCEN,ARARMA475SCEN,https://fred.stlouisfed.org/series/ARARMA475SCEN
Bank Capital to Total Assets for Armenia,https://fred.stlouisfed.org/tags/series?t=armenia&et=&pageID=2/series/DDSI03AMA156NWDB,DDSI03AMA156NWDB,https://fred.stlouisfed.org/series/DDSI03AMA156NWDB
Adolescent Fertility Rate for Armenia,https://fred.stlouisfed.org/tags/series?t=armenia&et=&pageID=2/series/SPADOTFRTARM,SPADOTFRTARM,https://fred.stlouisfed.org/series/SPADOTFRTARM
Small Firms with a Bank Loan or Line of Credit to Total Small Firms for Armenia,https://fred.stlouisfed.org/tags/series?t=armenia&et=&pageID=2/series/DDAI04AMA156NWDB,DDAI04AMA156NWDB,https://fred.stlouisfed.org/series/DDAI04AMA156NWDB
